time,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w
1763027698.331663,0.611600834,0.074407764,0.286961033,0.662702349,0.743070900,0.024059883,0.089957282
1763027698.337811,0.611600848,0.074407714,0.286961050,0.662702434,0.743070841,0.024059912,0.089957209
1763027698.343634,0.611600806,0.074407708,0.286961020,0.662702369,0.743070900,0.024059820,0.089957226
1763027698.349555,0.611600863,0.074407618,0.286961108,0.662702419,0.743070841,0.024059838,0.089957346
1763027698.355049,0.611600837,0.074407647,0.286961094,0.662702437,0.743070841,0.024059823,0.089957221
1763027698.360784,0.611600860,0.074407706,0.286961043,0.662702513,0.743070781,0.024059901,0.089957198
1763027698.366693,0.611600849,0.074407674,0.286961026,0.662702425,0.743070841,0.024059813,0.089957281
1763027698.372746,0.611600831,0.074407645,0.286961021,0.662702519,0.743070781,0.024059781,0.089957188
1763027698.378561,0.611600801,0.074407661,0.286960984,0.662702373,0.743070900,0.024059742,0.089957217
1763027698.384643,0.611600765,0.074407577,0.286960852,0.662702535,0.743070781,0.024059606,0.089957113
1763027698.418708,0.611600788,0.074407600,0.286960919,0.662702445,0.743070841,0.024059626,0.089957187
1763027698.454680,0.611600817,0.074407684,0.286960966,0.662702443,0.743070841,0.024059795,0.089957174
1763027698.470038,0.611601024,0.074407268,0.286959773,0.662701716,0.743071318,0.024059342,0.089958815
1763027698.500025,0.611597619,0.074410200,0.286930564,0.662693934,0.743079245,0.024046984,0.089954150
1763027698.506058,0.611594695,0.074409143,0.286892729,0.662693593,0.743082225,0.024019824,0.089938951
1763027698.512634,0.611592731,0.074407065,0.286840062,0.662693305,0.743086040,0.023982161,0.089919628
1763027698.518559,0.611591388,0.074405238,0.286785053,0.662692855,0.743090093,0.023943299,0.089900029
1763027698.524714,0.611587672,0.074404155,0.286728768,0.662692080,0.743094742,0.023903495,0.089877803
1763027698.530581,0.611581970,0.074402571,0.286670159,0.662691806,0.743099332,0.023861229,0.089853403
1763027698.536596,0.611574223,0.074400995,0.286601419,0.662691407,0.743104815,0.023811650,0.089823818
1763027698.542547,0.611566710,0.074399209,0.286522349,0.662690893,0.743111074,0.023754970,0.089790874
1763027698.548528,0.611558816,0.074397141,0.286427078,0.662689965,0.743118763,0.023686860,0.089751963
1763027698.555028,0.611549860,0.074394047,0.286313739,0.662689090,0.743127644,0.023605601,0.089706299
1763027698.560947,0.611537948,0.074389812,0.286171046,0.662688503,0.743138433,0.023502974,0.089648501
1763027698.567015,0.611526963,0.074385973,0.286042302,0.662687796,0.743148267,0.023410437,0.089596187
1763027698.614590,0.611514138,0.074381662,0.285892979,0.662687012,0.743159652,0.023303010,0.089535446
1763027698.617719,0.611396189,0.074349036,0.284524558,0.662674868,0.743267715,0.022323217,0.088976327
1763027698.623980,0.611376510,0.074340485,0.284284619,0.662673953,0.743285179,0.022150397,0.088880478
1763027698.629890,0.611355646,0.074331940,0.284043981,0.662673020,0.743302763,0.021976784,0.088783439
1763027698.636579,0.611329937,0.074324097,0.283754915,0.662670715,0.743324995,0.021769372,0.088665264
1763027698.642509,0.611306403,0.074316858,0.283489352,0.662668606,0.743345380,0.021578999,0.088556883
1763027698.648571,0.611281746,0.074309805,0.283211960,0.662666023,0.743366897,0.021380224,0.088443507
1763027698.654630,0.611256611,0.074302302,0.282929259,0.662663524,0.743388653,0.021177678,0.088328126
1763027698.660667,0.611230294,0.074294512,0.282640425,0.662661045,0.743410826,0.020970453,0.088209799
1763027698.666073,0.611202716,0.074285155,0.282335711,0.662658796,0.743433654,0.020751358,0.088085754
1763027698.671908,0.611174046,0.074273473,0.282016390,0.662657444,0.743456542,0.020520722,0.087956845
1763027698.677858,0.611149933,0.074263771,0.281751655,0.662656178,0.743475556,0.020329462,0.087849831
1763027698.684905,0.611121557,0.074254219,0.281442614,0.662653754,0.743498623,0.020107282,0.087723971
1763027698.690904,0.611086143,0.074243761,0.281063849,0.662650156,0.743527412,0.019835676,0.087568786
1763027698.697539,0.611048871,0.074232366,0.280661408,0.662646262,0.743557870,0.019546927,0.087404426
1763027698.703578,0.611016164,0.074222046,0.280313966,0.662643074,0.743583918,0.019297345,0.087262496
1763027698.709029,0.610981540,0.074212103,0.279948877,0.662639212,0.743611634,0.019035648,0.087112737
1763027698.715549,0.610944750,0.074199330,0.279556388,0.662636003,0.743640363,0.018753398,0.086953310
1763027698.721657,0.610908849,0.074185383,0.279170171,0.662633273,0.743667960,0.018474897,0.086797404
1763027698.727578,0.610871296,0.074173369,0.278781281,0.662629544,0.743696690,0.018195488,0.086638473
1763027698.771922,0.610557711,0.074077118,0.275596521,0.662593116,0.743931949,0.015907911,0.085337880
1763027698.777894,0.610511000,0.074061346,0.275140368,0.662588455,0.743964434,0.015579249,0.085151469
1763027698.785130,0.610455503,0.074042963,0.274596143,0.662582316,0.744003356,0.015187776,0.084929507
1763027698.791681,0.610399590,0.074024808,0.274057237,0.662576001,0.744041860,0.014799684,0.084709458
1763027698.797782,0.610350619,0.074010062,0.273588684,0.662569867,0.744075835,0.014463236,0.084517295
1763027698.803755,0.610301391,0.073993633,0.273120831,0.662564532,0.744108737,0.014126256,0.084325978
1763027698.809063,0.610251534,0.073977943,0.272648994,0.662558498,0.744142354,0.013787087,0.084132773
1763027698.814643,0.610209257,0.073963589,0.272251481,0.662553847,0.744170070,0.013500650,0.083970415
1763027698.819770,0.610159250,0.073946264,0.271783928,0.662548392,0.744202495,0.013163589,0.083779548
1763027698.825056,0.610117559,0.073931953,0.271394967,0.662543592,0.744229496,0.012883364,0.083621029
1763027698.830570,0.610075200,0.073917458,0.271003967,0.662538812,0.744256496,0.012601477,0.083461287
1763027698.835973,0.610024056,0.073899956,0.270535293,0.662533054,0.744288743,0.012263648,0.083269767
1763027698.841515,0.609980489,0.073885226,0.270137142,0.662527956,0.744316101,0.011976822,0.083107035
1763027698.846792,0.609928882,0.073867757,0.269666486,0.662521694,0.744348466,0.011637619,0.082914985
1763027698.852526,0.609884932,0.073853302,0.269272375,0.662516460,0.744375527,0.011353723,0.082753412
1763027698.857656,0.609839649,0.073839053,0.268867768,0.662510557,0.744403601,0.011062732,0.082587462
1763027698.863530,0.609784462,0.073820274,0.268379585,0.662503966,0.744436741,0.010710494,0.082387641
1763027698.868694,0.609735631,0.073805022,0.267953856,0.662497645,0.744466066,0.010403997,0.082212517
1763027698.873935,0.609676288,0.073787051,0.267429432,0.662489121,0.744502544,0.010027221,0.081997429
1763027698.916157,0.609239009,0.073660708,0.263699935,0.662421051,0.744761407,0.007343885,0.080466723
1763027698.921777,0.609184172,0.073649736,0.263253998,0.662409617,0.744794428,0.007023036,0.080283264
1763027698.926877,0.609118215,0.073641366,0.262720190,0.662392833,0.744836509,0.006639845,0.080063847
1763027698.932529,0.609063407,0.073633881,0.262278182,0.662378745,0.744871140,0.006320749,0.079883670
1763027698.937699,0.609007448,0.073629620,0.261835370,0.662362870,0.744907379,0.006002154,0.079702142
1763027698.943505,0.608940395,0.073625290,0.261309797,0.662343019,0.744950950,0.005623609,0.079487026
1763027698.948747,0.608873393,0.073622244,0.260789524,0.662322543,0.744994581,0.005248970,0.079273773
1763027698.954498,0.608817718,0.073620937,0.260360382,0.662304754,0.745031297,0.004940521,0.079097509
1763027698.959717,0.608763479,0.073619981,0.259941614,0.662287089,0.745067060,0.004639090,0.078926319
1763027698.964784,0.608708458,0.073621789,0.259525182,0.662267816,0.745104134,0.004340185,0.078754976
1763027698.970497,0.608643903,0.073622386,0.259030540,0.662245358,0.745147407,0.003984531,0.078552876
1763027698.975754,0.608577891,0.073623447,0.258535073,0.662222746,0.745190740,0.003628533,0.078349184
1763027699.013774,0.608137178,0.073709408,0.255366663,0.662038186,0.745504081,0.001406634,0.076987877
