time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7
1763027694.897876,0.327749968,0.749566972,-0.280383825,-1.441712737,0.115927145,0.817933619,1.518474698
1763027694.936943,0.327751786,0.749567688,-0.280378610,-1.441712976,0.115927145,0.817933738,1.518474698
1763027694.942924,0.327752084,0.749567688,-0.280378550,-1.441712976,0.115927145,0.817933500,1.518474698
1763027694.948841,0.327752501,0.749567688,-0.280378550,-1.441713095,0.115927242,0.817933619,1.518474698
1763027694.954996,0.327753037,0.749567747,-0.280378550,-1.441713214,0.115927145,0.817933738,1.518474698
1763027694.960766,0.327753335,0.749567568,-0.280378610,-1.441713095,0.115927242,0.817933679,1.518474698
1763027695.003093,0.327753693,0.749567568,-0.280378014,-1.441713095,0.115927145,0.817933798,1.518474698
1763027695.041741,0.327753693,0.749567032,-0.280377895,-1.441713095,0.115927145,0.817933619,1.518474817
1763027695.047863,0.327753693,0.749566972,-0.280377656,-1.441712976,0.115927145,0.817933738,1.518474698
1763027695.053737,0.327753693,0.749566734,-0.280377537,-1.441713095,0.115927145,0.817933619,1.518474698
1763027695.059672,0.327753693,0.749566674,-0.280377537,-1.441712976,0.115927145,0.817933798,1.518474698
1763027695.064959,0.327753812,0.749566436,-0.280377537,-1.441712856,0.115927145,0.817933679,1.518474698
1763027695.071065,0.327753812,0.749566555,-0.280377418,-1.441712856,0.115927145,0.817933798,1.518474460
1763027695.077600,0.327753872,0.749566615,-0.280376703,-1.441712856,0.115927435,0.817933619,1.518474698
1763027695.084558,0.327754110,0.749566615,-0.280376226,-1.441712856,0.115927145,0.817933500,1.518474817
1763027695.090051,0.327754885,0.749566674,-0.280375361,-1.441712737,0.115927145,0.817933798,1.518474817
1763027695.097919,0.327755839,0.749566674,-0.280373991,-1.441712856,0.115927339,0.817933619,1.518474698
1763027695.103901,0.327757180,0.749566793,-0.280372560,-1.441712856,0.115927145,0.817933738,1.518474698
1763027695.109877,0.327758849,0.749566674,-0.280371785,-1.441712856,0.115927048,0.817933619,1.518474698
1763027695.115723,0.327760696,0.749566793,-0.280371070,-1.441712856,0.115927242,0.817933619,1.518474698
1763027695.121611,0.327762246,0.749566793,-0.280370474,-1.441712737,0.115927242,0.817933738,1.518474460
1763027695.127032,0.327765435,0.749566913,-0.280370116,-1.441712737,0.115927145,0.817933798,1.518474698
1763027695.133487,0.327771425,0.749566734,-0.280370176,-1.441712856,0.115927339,0.817933619,1.518474698
1763027695.138973,0.327776998,0.749566793,-0.280370176,-1.441712856,0.115927145,0.817933619,1.518474936
1763027695.144954,0.327781856,0.749566734,-0.280370295,-1.441712737,0.115927145,0.817933738,1.518474698
1763027695.150832,0.327785403,0.749566793,-0.280370176,-1.441712737,0.115927145,0.817933857,1.518474698
1763027695.194631,0.327781022,0.749566615,-0.280371010,-1.441712976,0.115927145,0.817933798,1.518474698
1763027695.200747,0.327780306,0.749566734,-0.280371070,-1.441712856,0.115927145,0.817933500,1.518474698
1763027695.206660,0.327779830,0.749566674,-0.280371070,-1.441712737,0.115927242,0.817933619,1.518474698
1763027695.212533,0.327778071,0.749566793,-0.280370951,-1.441712737,0.115927145,0.817933917,1.518474698
1763027695.218071,0.327774554,0.749566793,-0.280370891,-1.441712856,0.115927145,0.817933738,1.518474698
1763027695.223998,0.327771425,0.749566972,-0.280370295,-1.441712856,0.115927242,0.817933738,1.518474698
1763027695.229967,0.327768326,0.749566972,-0.280370176,-1.441712976,0.115927145,0.817933738,1.518474817
1763027695.235951,0.327765554,0.749566972,-0.280370176,-1.441712737,0.115927145,0.817933738,1.518474817
1763027695.241925,0.327763110,0.749566972,-0.280369997,-1.441712856,0.115927242,0.817933798,1.518474698
1763027695.247727,0.327761352,0.749566972,-0.280369729,-1.441712856,0.115927145,0.817933738,1.518474817
1763027695.253774,0.327760458,0.749566972,-0.280369431,-1.441712856,0.115927435,0.817933619,1.518474936
1763027695.259040,0.327759862,0.749566972,-0.280368954,-1.441712737,0.115927242,0.817933738,1.518474698
1763027695.265057,0.327759445,0.749566972,-0.280368239,-1.441712856,0.115927242,0.817933738,1.518474698
1763027695.270999,0.327758968,0.749566913,-0.280367941,-1.441712737,0.115927145,0.817933619,1.518474698
1763027695.276976,0.327758610,0.749566913,-0.280367821,-1.441712737,0.115927145,0.817933738,1.518474698
1763027695.282753,0.327758372,0.749566793,-0.280367702,-1.441712737,0.115927145,0.817933798,1.518474698
1763027695.324749,0.327749908,0.749566674,-0.280368656,-1.441712737,0.115927145,0.817933738,1.518474698
1763027695.330944,0.327748537,0.749566615,-0.280368835,-1.441712856,0.115927339,0.817933798,1.518474817
1763027695.337014,0.327747166,0.749566615,-0.280368835,-1.441712856,0.115927242,0.817933619,1.518474698
1763027695.380908,0.327743858,0.749565959,-0.280368954,-1.441710234,0.115927242,0.817933738,1.518474936
1763027695.389737,0.327743739,0.749565899,-0.280368716,-1.441709280,0.115927145,0.817933500,1.518474698
1763027695.398451,0.327743858,0.749565899,-0.280368716,-1.441708565,0.115927145,0.817933500,1.518474698
1763027695.403956,0.327743858,0.749565899,-0.280368835,-1.441708446,0.115927145,0.817933500,1.518474698
1763027695.409961,0.327743858,0.749565899,-0.280368835,-1.441708207,0.115927145,0.817933857,1.518474698
1763027695.415727,0.327743858,0.749565959,-0.280368835,-1.441708207,0.115927145,0.817933738,1.518474698
1763027695.421807,0.327743739,0.749566019,-0.280368775,-1.441708088,0.115927145,0.817933738,1.518474698
1763027695.427645,0.327743858,0.749566019,-0.280368954,-1.441708207,0.115927145,0.817933619,1.518474698
1763027695.433663,0.327743739,0.749566019,-0.280369252,-1.441708207,0.115927145,0.817933619,1.518474817
1763027695.439020,0.327743739,0.749566138,-0.280369550,-1.441708207,0.115927339,0.817933619,1.518474817
1763027695.444822,0.327743739,0.749566138,-0.280369878,-1.441708088,0.115927145,0.817933738,1.518474936
1763027695.450742,0.327743500,0.749566138,-0.280369878,-1.441708207,0.115927145,0.817933619,1.518474936
1763027695.456865,0.327742785,0.749566138,-0.280370295,-1.441708207,0.115927145,0.817933500,1.518474698
1763027695.462854,0.327741712,0.749566257,-0.280370891,-1.441708088,0.115927242,0.817933619,1.518474698
1763027695.468739,0.327740282,0.749566257,-0.280371606,-1.441708207,0.115927242,0.817933619,1.518474698
1763027695.474041,0.327738881,0.749566317,-0.280372024,-1.441708207,0.115927339,0.817933619,1.518474698
1763027695.512725,0.327694654,0.749566257,-0.280373394,-1.441708446,0.115927145,0.817933738,1.518474698
1763027695.519024,0.327689528,0.749566257,-0.280373454,-1.441708446,0.115927242,0.817933738,1.518474698
1763027695.524951,0.327685803,0.749566376,-0.280373454,-1.441708207,0.115927145,0.817933619,1.518474698
1763027695.567954,0.327683091,0.749566257,-0.280373573,-1.441708207,0.115927145,0.817933619,1.518474698
1763027695.573899,0.327704012,0.749566257,-0.280373454,-1.441708207,0.115927242,0.817933619,1.518474460
1763027695.579625,0.327709764,0.749566138,-0.280373454,-1.441708207,0.115927145,0.817933619,1.518474817
1763027695.588586,0.327717990,0.749566257,-0.280373394,-1.441708326,0.115927145,0.817933738,1.518474460
1763027695.595003,0.327722043,0.749566376,-0.280373275,-1.441708207,0.115927242,0.817933619,1.518474698
1763027695.600987,0.327724814,0.749566436,-0.280373275,-1.441708446,0.115927145,0.817933619,1.518474698
1763027695.606825,0.327728957,0.749566436,-0.280373454,-1.441708446,0.115927145,0.817933798,1.518474698
1763027695.612867,0.327734083,0.749566734,-0.280373812,-1.441708446,0.115927145,0.817933798,1.518474936
1763027695.618659,0.327738345,0.749566793,-0.280373991,-1.441708446,0.115927145,0.817933798,1.518474817
1763027695.624768,0.327743143,0.749566972,-0.280374110,-1.441708684,0.115927145,0.817933619,1.518474698
1763027695.630576,0.327747107,0.749566913,-0.280374110,-1.441708684,0.115927145,0.817933500,1.518474698
1763027695.636549,0.327750146,0.749566793,-0.280374169,-1.441708684,0.115927145,0.817933619,1.518474698
1763027695.642003,0.327752501,0.749566913,-0.280374408,-1.441708684,0.115927145,0.817933738,1.518474698
1763027695.680878,0.327754527,0.749566913,-0.280374825,-1.441708565,0.115927145,0.817933798,1.518474698
1763027695.688779,0.327767044,0.749566436,-0.280374706,-1.441708565,0.115927145,0.817933500,1.518474698
1763027695.695024,0.327768922,0.749566495,-0.280374706,-1.441708565,0.115927145,0.817933738,1.518474698
1763027695.700768,0.327770889,0.749566615,-0.280374587,-1.441708565,0.115927242,0.817933738,1.518474817
1763027695.708090,0.327772141,0.749566376,-0.280374527,-1.441708565,0.115927145,0.817933738,1.518474698
1763027695.713969,0.327773213,0.749566376,-0.280374825,-1.441708565,0.115927145,0.817933619,1.518474698
